This is part of the Online Privacy and Security dataset from the
Graphic, Visualization, & Usability Center's (GVU) 10th WWW User
Survey.  Please see the file GVU_Survey_Copyright_Notice for the
conditions under which this dataset can be used and/or distributed.


Advertising Networks,Anonymous Payment Systems,Attitudes Towards Spamming,Childrens Privacy,Content Providers have Right to Resell User Information,Direct Marketing,Had Credit Card Number Stolen,Have Unlisted Phone Number,How Concerned about Security,How Concerned about Security for ECommerce,Information about Users Improves Marketing of Site,Internet Privacy Laws,Internet Shopping and Banking Make Life Easier,Mass Emailings,Ought to be able to Assume Different Aliases/Roles on the Internet,Policies Towards Spamming,Privacy of Communications,Security a Factor in Online Business,Use of Demographic Information in Other Mediums,Users Ought to Have Complete Control of Demographic Info,Value Anonymous Nature of Internet,Which is More Important,Willing to Use Credit Card on Web
Disagree Somewhat,Disagree Somewhat,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Somewhat,Agree Somewhat,Privacy,Yes
Disagree Strongly,No Opinion,Other,Disagree Somewhat,Agree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
No Opinion,Agree Somewhat,Delete,Agree Somewhat,Disagree Somewhat,Neither Agree or Disagree,Yes,No,A little,A little,Neither Agree or Disagree,Agree Somewhat,Yes,Neither Agree or Disagree,Agree Strongly,Registry,Agree Strongly,A small factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Neither Agree or Disagree,Reply,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,Yes,Somewhat,A little,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Somewhat,Neither Agree or Disagree,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Not App,Disagree Strongly,Disagree Somewhat,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,No Opinion,Other,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,No Opinion,Other,Agree Somewhat,Not a factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Read,Agree Strongly,Neither Agree or Disagree,Agree Somewhat,Yes,No,Very,Very,No Opinion,Neither Agree or Disagree,Yes,Neither Agree or Disagree,No Opinion,Don't Know,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,Neither Agree or Disagree,Delete,Disagree Strongly,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Reply,Agree Somewhat,Disagree Strongly,Disagree Strongly,Yes,No,Somewhat,Very,Disagree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Somewhat,A significant factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,Yes,Yes,Somewhat,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,No Opinion,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,Yes,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Disagree Strongly,Neither Agree or Disagree,Agree Strongly,No,Yes,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Disagree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,A little,A little,Agree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,No Opinion,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Neither Agree or Disagree,Agree Strongly,Read,No Opinion,Disagree Strongly,Agree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Neither Agree or Disagree,Neither Agree or Disagree,Nothing,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Somewhat,Agree Somewhat,No,No,Very,Very,No Opinion,Agree Somewhat,Yes,Disagree Strongly,No Opinion,Registry,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Not App,Agree Somewhat,Disagree Somewhat,No Opinion,Yes,Yes,Very,Very,Disagree Somewhat,Agree Strongly,Yes,No Opinion,Disagree Somewhat,Registry,Agree Somewhat,A significant factor,Agree Somewhat,No Opinion,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Agree Somewhat,Disagree Strongly,Yes,No,Not at all,Very,Agree Somewhat,No Opinion,No,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Yes,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Neither Agree or Disagree,Impact Fee,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Somewhat,Disagree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,"Should be, but not",Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,A little,A little,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Disagree Strongly,Reply,Agree Strongly,Disagree Somewhat,Disagree Strongly,Yes,Yes,A little,A little,Agree Strongly,Agree Somewhat,Yes,Disagree Strongly,No Opinion,Government Controls,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Reply,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,No,A little,Not at all,Agree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Retaliate,Disagree Strongly,Neither Agree or Disagree,Disagree Somewhat,No,No,Somewhat,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,No Opinion,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Somewhat,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,No Opinion,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Disagree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Neither Agree or Disagree,No,No,Somewhat,A little,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Somewhat,Agree Strongly,Impact Fee,Agree Somewhat,A deciding factor,Disagree Somewhat,Agree Somewhat,Neither Agree or Disagree,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Yes,Yes,Somewhat,Very,Neither Agree or Disagree,No Opinion,Yes,Disagree Strongly,No Opinion,Don't Know,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,No Opinion,Privacy,Yes
Disagree Strongly,No Opinion,Not App,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Yes,Yes,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,No Opinion,No Opinion,Don't Know,Neither Agree or Disagree,A deciding factor,Neither Agree or Disagree,Agree Somewhat,No Opinion,Privacy,Yes
Disagree Somewhat,Agree Strongly,Reply,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,A little,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Somewhat,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Somewhat,Not App,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Reply,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Reply,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Neither Agree or Disagree,Disagree Strongly,Yes,Disagree Strongly,No Opinion,Nothing,No Opinion,A significant factor,Disagree Strongly,Agree Strongly,No Opinion,Convenience,Yes
Disagree Somewhat,Neither Agree or Disagree,Read,Neither Agree or Disagree,Disagree Somewhat,Agree Somewhat,No,No,A little,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Registry,Agree Strongly,Not a factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Neither Agree or Disagree,Neither Agree or Disagree,Disagree Somewhat,No,No,Somewhat,A little,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Convenience,Yes
Disagree Somewhat,No Opinion,Reply,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,A little,A little,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Neither Agree or Disagree,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Not App,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Somewhat,Agree Strongly,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Neither Agree or Disagree,Disagree Somewhat,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Somewhat,No,No,Somewhat,A little,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Somewhat,A significant factor,Neither Agree or Disagree,Agree Strongly,Agree Somewhat,Convenience,Yes
Disagree Somewhat,Agree Somewhat,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,"Should be, but not",Very,Agree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Neither Agree or Disagree,Agree Strongly,Delete,Disagree Strongly,Neither Agree or Disagree,Neither Agree or Disagree,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Somewhat,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,No Opinion,Delete,Agree Strongly,Disagree Somewhat,Agree Somewhat,No,Yes,Somewhat,Very,Agree Somewhat,Agree Somewhat,No,Agree Somewhat,Neither Agree or Disagree,Other,Agree Somewhat,A small factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Agree Strongly,Not App,Neither Agree or Disagree,Disagree Somewhat,Disagree Strongly,No,Yes,Very,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Neither Agree or Disagree,Disagree Somewhat,Impact Fee,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Somewhat,Very,Disagree Somewhat,Agree Strongly,No,Disagree Strongly,Neither Agree or Disagree,Don't Know,Agree Somewhat,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Somewhat,Agree Strongly,Other,Neither Agree or Disagree,Neither Agree or Disagree,Disagree Strongly,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Impact Fee,Agree Strongly,A small factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Somewhat,Other,Agree Somewhat,Neither Agree or Disagree,Disagree Strongly,No,No,Not at all,Somewhat,Agree Somewhat,Neither Agree or Disagree,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Somewhat,A deciding factor,Disagree Strongly,Neither Agree or Disagree,Agree Somewhat,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Other,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Somewhat,Agree Somewhat,No,No,Very,Somewhat,Disagree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Government Controls,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,No Opinion,Other,Agree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,A little,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,Yes,Very,Very,Disagree Strongly,Agree Somewhat,No,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Strongly,Other,Disagree Strongly,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Yes,Very,Somewhat,Disagree Somewhat,Disagree Strongly,Yes,Neither Agree or Disagree,Agree Strongly,Nothing,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,No,Very,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Strongly,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,Agree Strongly,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,Yes,No,Somewhat,A little,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Don't Know,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Neither Agree or Disagree,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Agree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Neither Agree or Disagree,Disagree Strongly,No,No,Somewhat,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,No Opinion,Delete,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,A little,A little,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Reply,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,A little,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Not App,Agree Strongly,Neither Agree or Disagree,Neither Agree or Disagree,No,No,Not at all,Not at all,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Neither Agree or Disagree,Neither Agree or Disagree,Other,Neither Agree or Disagree,A small factor,Disagree Somewhat,Neither Agree or Disagree,Agree Somewhat,Convenience,Yes
Disagree Somewhat,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,No Opinion,Agree Strongly,Yes,Disagree Strongly,No Opinion,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
